control_id,iosco_principle,isae3000_objective,artifact,status,evidence_path,evidence_sha256,ledger_figure_id,notes
annual-external-audit,Annual external audit,An independent external auditor performs a periodic assurance engagement (e.g. ISAE 3000) over the benchmark controls.,None — no independent external auditor engaged; this pack is the ISAE 3000 / IOSCO-PRA dry run that PREPARES for one,gap,,,assurance.annual-external-audit,"HONEST GAP. No independent external auditor / ISAE 3000 engagement has occurred. QA_AQUA_REVIEW.md is explicitly an internal-style self-review and itself recommends a genuinely independent second-analyst review. This pack is the dry run that prepares for, but does not constitute, that audit."
audit-trails,Audit trails available to regulators,"A complete, independently re-verifiable audit trail binds each published figure to its evidence, methodology and approval.","ledger/publication_ledger.json (hash-chained records, JSON + SQLite mirror) — re-verifiable via build/build_ledger.py --verify",met,build/build_ledger.py,d59d99477b024f76c32f043a5a222962437076761aa892a5bd08cb302cc4a027,assurance.audit-trails,"The strongest control in the pack. Every figure binds to evidence sha256 + methodology commit + method_sha256 + QA + approval and the records are hash-chained, so any retroactive edit is detectable. Independently re-verifiable via `python3 build/build_ledger.py --verify` (the cited artifact) and locked by tests/test_ledger.py. The pre-assurance chain head and base record count are pinned live in this matrix's header."
complaints-handling,Complaints handling + records,A documented complaints process exists with acknowledgement/resolution SLAs and a retained complaints record.,"docs/policies/COMPLAINTS_POLICY.md + the append-only corrections log (ledger/corrections_log.json, supersedes-hash)",partial,docs/policies/COMPLAINTS_POLICY.md,81c65ba14b181c981d4735cd1ef0ae4c9839411e40c2d3195124e2fa6d87a9ae,assurance.complaints-handling,"The complaints policy (lodging, SLAs, escalation, 5-year record retention) and the append-only corrections log that a complaint-driven restatement writes to both exist. No intake channel is yet operationally staffed and the log is seeded empty — partial."
conflicts-segregation,Conflicts of interest / segregation of duties,Build/production and approval are performed by independent parties; conflicts of interest are identified and managed.,docs/policies/CONFLICTS_POLICY.md + the build-actor != approver rule in the approval gate (and corrected_by != approved_by in corrections),partial,docs/policies/CONFLICTS_POLICY.md,1d468c156c9f4e9e90728a86c99b653ff2f42efe078b5a504df3f2bea7004968,assurance.conflicts-segregation,"The conflicts policy and the neutrality firewall (METHODOLOGY §8) exist, and segregation is enforced as a write/resolve-time rule across the approval, corrections and registry registries (build_actor != approver). But identities are self-asserted strings, and at v1.0 build and approval are the same single operator — true independence (signed commits / SSO / 4-eyes) is not yet achieved. This is the key organisational gap — partial."
internal-controls,Internal controls & quality,"Documented internal controls (deterministic build, automated testing, QA framework) operate effectively and are evidenced.","Deterministic build + the automated test suite (live count in the ledger qa block) + the AQuA-framework review, all bound into the ledger",met,docs/QA_AQUA_REVIEW.md,113f7f35cff490e4a348126f1fbbee60cea7af99da9ce5a6966aab0dc45dbc0f,assurance.internal-controls,"Strong and demonstrable today: a deterministic, network-free build; an automated test suite whose live pass count is pulled from the ledger qa block; an AQuA-framework review; and fail-closed gates (registry --check, --check-approvals) — all tamper-evident inside the hash chain."
methodology-change-procedure,Methodology change procedure + consultation,"Material methodology changes follow a documented procedure with version increment, changelog and stakeholder consultation.",docs/policies/METHODOLOGY_CHANGE_POLICY.md + the registry's fail-closed change gate (version bump + append-only changelog),partial,docs/policies/METHODOLOGY_CHANGE_POLICY.md,cb8021b071c04864ceeb6ddcace7ece9d08de2cf58b8ba94ed37bd944cd65dfd,assurance.methodology-change-procedure,"The mechanical change procedure is REAL and enforced — a formula edit without a version bump + changelog entry fails the build closed (methodology/build_registry.py --check). The CONSULTATION limb is documented but aspirational: no external constituency has yet been consulted, so this principle is partial."
prioritise-concluded-transactions,Prioritise concluded transactions,"Where a transaction-based input hierarchy exists, concluded transactions are prioritised over estimates/judgments.","N/A — no concluded-transaction feed; IMES is forward-looking, prices are HARD/ASSESSED-tagged assessments (METHODOLOGY §5)",gap,,,assurance.prioritise-concluded-transactions,"HONEST GAP and the defining limitation vs a true PRA. InfraMosaic has no submission/transaction window: IMES sub-scores are assessed forward-looking judgments and component prices are triangulated estimates tagged HARD vs ASSESSED. The HARD/ASSESSED confidence tag is the nearest analogue, but there is no concluded-transaction prioritisation. Roadmap: STRATEGY P3 (structured price-assessment window)."
published-methodology,Published methodology,"The methodology is documented, version-controlled and publicly available, and every published figure binds to it.","docs/METHODOLOGY.md + methodology/registry.json (every figure's formula_ref resolves to a named, versioned, content-hashed method)",met,docs/METHODOLOGY.md,b145fcd3e7e6922ce2ec7325c9106b0822322cd7170d3580d55d9c536304f2b9,assurance.published-methodology,"Fully public and reproducible: METHODOLOGY.md (v1.0, git-versioned) plus the methodology registry pin every figure to a method_sha256 carried inside its hash-chained ledger record."
record-retention,Document / record retention,Records are retained for a defined period per record class with a tamper-evident immutability mechanism.,"docs/policies/RETENTION_SCHEDULE.md + the corrections retention clock (retention_until = date + N yrs, 5yr floor) + git history + hash chain",met,docs/policies/RETENTION_SCHEDULE.md,d8f61974cdcd55928b4d16c1948ce8f2911bfd9740ba223c05340a46a066b9ef,assurance.record-retention,"Retention is genuinely enforced, not just stated: per-class periods in the schedule, a per-entry retention clock in the corrections log, the append-only ledger_hash_archive, and git history + the publication hash chain make source CSVs, ledger snapshots and approvals tamper-evident."
routine-annual-review,Routine (annual) methodology review,The methodology is reviewed on a defined periodic cadence; review outcomes are recorded.,"Registry review{cadence:annual,last_review,next_review_due} per method + docs/QA_AQUA_REVIEW.md (the first review cycle)",partial,docs/QA_AQUA_REVIEW.md,113f7f35cff490e4a348126f1fbbee60cea7af99da9ce5a6966aab0dc45dbc0f,assurance.routine-annual-review,"An annual cadence and a queryable due-date driver exist (build_registry.py --review --due), and QA_AQUA_REVIEW.md is the first cycle. The recurring human review is a forward commitment, not yet a demonstrated multi-year track record — partial."
